FID,OBJECTID,SHAPE,HTXT,HTXTK,HLINIEN,DIVA_ID,LTYP,WEBLINK1,SE_ANNO_CAD_DATA
OEFFHALTESTOGD.3076838,3076838,POINT (16.48625952666497 48.209337080804424),In der Au,In der Au,93A,,2,https://anachb.vor.at#P|SQ!evaId|Wien%20In%20der%20Au!start|1,
OEFFHALTESTOGD.3076839,3076839,POINT (16.486133726431262 48.2092652812517),In der Au,In der Au,93A,,2,https://anachb.vor.at#P|SQ!evaId|Wien%20In%20der%20Au!start|1,
OEFFHALTESTOGD.3076840,3076840,POINT (16.246418326629286 48.223870181411705),Jägerwaldsiedlung,Jägerwaldsiedlung,52A,,2,https://anachb.vor.at#P|SQ!evaId|Wien%20Jägerwaldsiedlung!start|1,
OEFFHALTESTOGD.3076841,3076841,POINT (16.43367212594639 48.24334688127148),Kagran,Kagran,26A,,1,https://anachb.vor.at#P|SQ!evaId|Wien%20Kagran!start|1,
OEFFHALTESTOGD.3076842,3076842,POINT (16.43367212594639 48.24334688127148),Kagran,Kagran,26A,,2,https://anachb.vor.at#P|SQ!evaId|Wien%20Kagran!start|1,
OEFFHALTESTOGD.3076843,3076843,POINT (16.433456526555922 48.24364608132466),Kagran,Kagran,"93A, N26",,2,https://anachb.vor.at#P|SQ!evaId|Wien%20Kagran!start|1,
OEFFHALTESTOGD.3076844,3076844,POINT (16.433456526555922 48.24364608132466),Kagran,Kagran,"93A, N26",,11,https://anachb.vor.at#P|SQ!evaId|Wien%20Kagran!start|1,
OEFFHALTESTOGD.3076845,3076845,POINT (16.433456526555922 48.24364608132466),Kagran,Kagran,"93A, N26",,10,https://anachb.vor.at#P|SQ!evaId|Wien%20Kagran!start|1,
OEFFHALTESTOGD.3076846,3076846,POINT (16.43369012661998 48.24325118141221),Kagran,Kagran,N25,,11,https://anachb.vor.at#P|SQ!evaId|Wien%20Kagran!start|1,
OEFFHALTESTOGD.3076847,3076847,POINT (16.43369012661998 48.24325118141221),Kagran,Kagran,N25,,10,https://anachb.vor.at#P|SQ!evaId|Wien%20Kagran!start|1,
OEFFHALTESTOGD.3076848,3076848,POINT (16.433079226617558 48.24368788103769),Kagran,Kagran,"22A, 94A",,2,https://anachb.vor.at#P|SQ!evaId|Wien%20Kagran!start|1,
OEFFHALTESTOGD.3076849,3076849,POINT (16.433591326441547 48.243765681466144),Kagran,Kagran,"25, 26",,1,https://anachb.vor.at#P|SQ!evaId|Wien%20Kagran!start|1,
OEFFHALTESTOGD.3076850,3076850,POINT (16.433761926396244 48.243299081024844),Kagran,Kagran,26,,1,https://anachb.vor.at#P|SQ!evaId|Wien%20Kagran!start|1,
OEFFHALTESTOGD.3076851,3076851,POINT (16.4332319262615 48.243592180920146),Kagran,Kagran,27A,,2,https://anachb.vor.at#P|SQ!evaId|Wien%20Kagran!start|1,
OEFFHALTESTOGD.3076852,3076852,POINT (16.43373502641032 48.24326318155983),Kagran,Kagran,"26A, 93A, N26",,2,https://anachb.vor.at#P|SQ!evaId|Wien%20Kagran!start|1,
OEFFHALTESTOGD.3076853,3076853,POINT (16.43373502641032 48.24326318155983),Kagran,Kagran,"26A, 93A, N26",,11,https://anachb.vor.at#P|SQ!evaId|Wien%20Kagran!start|1,
OEFFHALTESTOGD.3076854,3076854,POINT (16.43373502641032 48.24326318155983),Kagran,Kagran,"26A, 93A, N26",,10,https://anachb.vor.at#P|SQ!evaId|Wien%20Kagran!start|1,
OEFFHALTESTOGD.3076855,3076855,POINT (16.433160126191567 48.24362808109398),Kagran,Kagran,22A,,2,https://anachb.vor.at#P|SQ!evaId|Wien%20Kagran!start|1,
OEFFHALTESTOGD.3076856,3076856,POINT (16.49265552632827 48.23275678083002),Hagedornweg,Hagedornweg,97A,,2,https://anachb.vor.at#P|SQ!evaId|Wien%20Hagedornweg!start|1,
OEFFHALTESTOGD.3076857,3076857,POINT (16.44863802665001 48.23936238116128),Kagraner Anger,Kagraner Anger,94A,,2,https://anachb.vor.at#P|SQ!evaId|Wien%20Kagraner%20Anger!start|1,
OEFFHALTESTOGD.3076858,3076858,POINT (16.448754826630257 48.23934448101898),Kagraner Anger,Kagraner Anger,94A,,2,https://anachb.vor.at#P|SQ!evaId|Wien%20Kagraner%20Anger!start|1,
OEFFHALTESTOGD.3076859,3076859,POINT (16.430851425884406 48.23949408114099),Kagraner Brücke,Kagraner Brücke,"N25, 93A",,2,https://anachb.vor.at#P|SQ!evaId|Wien%20Kagraner%20Brücke!start|1,
OEFFHALTESTOGD.3076860,3076860,POINT (16.430851425884406 48.23949408114099),Kagraner Brücke,Kagraner Brücke,"N25, 93A",,11,https://anachb.vor.at#P|SQ!evaId|Wien%20Kagraner%20Brücke!start|1,
OEFFHALTESTOGD.3076861,3076861,POINT (16.430851425884406 48.23949408114099),Kagraner Brücke,Kagraner Brücke,"N25, 93A",,10,https://anachb.vor.at#P|SQ!evaId|Wien%20Kagraner%20Brücke!start|1,
OEFFHALTESTOGD.3076862,3076862,POINT (16.430743626214085 48.23915298153404),Kagraner Brücke,Kagraner Brücke,25,,1,https://anachb.vor.at#P|SQ!evaId|Wien%20Kagraner%20Brücke!start|1,
